feature,importance
sensor_2_roll3_std,0.03829796937335904
sensor_5_roll3_std,0.03828879030767504
sensor_4_delta,0.03766158299034136
ambient_temp,0.037592328314565
ambient_temp_roll3_std,0.03701538536750653
sensor_4_roll3_std,0.03698243445873167
sensor_1_roll3_std,0.03690365641592037
load_roll3_mean,0.03680327453727073
sensor_3_roll3_std,0.03667215274797445
ambient_temp_delta,0.03645125011527984
sensor_1_delta,0.03640596730660337
ambient_temp_roll3_mean,0.03615427128732971
load_roll3_std,0.03598988388305065
sensor_2_delta,0.035849533724932915
load_delta,0.03568896343632391
sensor_5_delta,0.03568761717285339
sensor_3_delta,0.03568271886637617
load,0.03554195503890502
sensor_5,0.03498848267814814
sensor_2,0.03452008497665501
sensor_2_roll3_mean,0.034285349034200045
sensor_4_roll3_mean,0.03409803155485602
sensor_5_roll3_mean,0.033803990812874926
sensor_1,0.03300744815474094
sensor_1_roll3_mean,0.03247694993120173
sensor_4,0.032374165730855976
sensor_3_roll3_mean,0.032339717419764526
sensor_3,0.03217281370232006
failure,0.006263230659383465
